,Variable Name,Variable Description,Subcohort,Dataset,Dataset Description,Data Type,Mapped Instrument,Number Participants,Field Attributes
0,mhp:summary:alltime:numrecords:sinusrhythm,"Fitbit all time summary - Sinus Rhythm (AllTime, NumRecords)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,22,"{'min': np.float64(1.0), 'max': np.float64(6.0), 'mean': np.float64(2.32)}"
1,mhp:summary:alltime:numrecords:spo2max,"Fitbit all time summary - SpO2 - Max (AllTime, NumRecords)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,98,"{'min': np.float64(1.0), 'max': np.float64(210.0), 'mean': np.float64(47.01)}"
2,mhp:summary:weekly:median:calories,"Count of recorded weekly Fitbit values for participant for Calories (Weekly, Median)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,110,"{'min': np.float64(1.0), 'max': np.float64(77.0), 'mean': np.float64(15.05)}"
3,mhp:summary:alltime:median:sleeplevelrem,"Fitbit all time summary - Sleep Level - REM (AllTime, Median)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,97,"{'min': np.float64(26.0), 'max': np.float64(190.0), 'mean': np.float64(91.48)}"
4,dob,dob in pediatric cohort demographics.tsv. Dates have been shifted to protect anonymity.,Pediatric,Pediatric Demographics,RECOVER Pediatric Cohort Demographics,categorical,,14093,"{'2007': 2682, '2008': 2525, '2006': 1388, '2009': 1114, '2010': 389, '2011': 378}"
5,mhp:summary:alltime:mean:calories,"Fitbit all time summary - Calories (AllTime, Mean)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,110,"{'min': np.float64(1247.0), 'max': np.float64(4191.0), 'mean': np.float64(2208.64)}"
6,mhp:summary:alltime:5pct:spo2min,"Fitbit all time summary - SpO2 - Min (AllTime, 5pct)",Pediatric,Pediatric Fitbit,RECOVER Pediatric Cohort Fitbit,continuous,,98,"{'min': np.float64(84.0), 'max': np.float64(97.0), 'mean': np.float64(90.88)}"
7,identity,addr_durationya from form identity and visit Acute baseline from pediatric cohort answerdata.tsv.,Pediatric,identity,,categorical,Identity,137,"{'less than 1 year': 40, '10 years or more': 35, '1 to 2 years': 25, '3 to 5 years': 15, '6 to 10 years': 10, 'I do not want to answer': 8}"
8,addr_durationya,addr_durationya from form identity and visit Post-acute baseline from pediatric cohort answerdata.tsv.,Pediatric,identity,identity (Post-acute baseline),categorical,Identity,1330,"{'less than 1 year': 391, '10 years or more': 381, '1 to 2 years': 255, '3 to 5 years': 150, '6 to 10 years': 113, 'I do not want to answer': 29}"
9,arup_test_results,arup_anahep2dt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,,categorical,Arup Test Results,1094,Date
10,arup_anapattdt,arup_anapattdt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,261,Date
11,arup_anatiterdt,arup_anatiterdt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,261,Date
12,arup_ccpeptidedt,arup_ccpeptidedt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1089,Date
13,arup_dsdnadt,arup_dsdnadt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1094,Date
14,arup_ebvcapsidiggdt,arup_ebvcapsidiggdt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1102,Date
15,arup_ebvcapsidigmdt,arup_ebvcapsidigmdt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1101,Date
16,arup_ebvearlydt,arup_ebvearlydt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1102,Date
17,arup_ebvnucleardt,arup_ebvnucleardt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1102,Date
18,arup_rheumdt,arup_rheumdt from form arup_test_results and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,arup_test_results,arup_test_results (Follow-up month 6),categorical,Arup Test Results,1080,Date
19,asq10_all_concern,asq10_all_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'No': 7, 'Yes': 3}"
20,asq10_comm1,asq10_comm1 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
21,asq10_comm2,asq10_comm2 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 3, 'Yes': 7}"
22,asq10_comm3,asq10_comm3 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,{'Yes': 10}
23,asq10_comm4,asq10_comm4 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Sometimes': 4, 'Yes': 6}"
24,asq10_comm5,asq10_comm5 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 2, 'Yes': 6}"
25,asq10_comm6,asq10_comm6 from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),categorical,Asq,10,"{'Not yet': 2, 'Sometimes': 2, 'Yes': 6}"
26,asq10_comm_concern,asq10_comm_concern from form asq and visit Follow-up month 6 from pediatric cohort answerdata.tsv.,Pediatric,asq,asq (Follow-up month 6),continuous,Asq,10,"{'min': np.float64(0.0), 'max': np.float64(0.0), 'mean': np.float64(0.0)}"
