variable_id,variable_label_from_data_file,label,derived_var_label,desc,form,form_id
ae_desc,,Description of adverse event:,,,Adverse Events,adverse_events
ae_dt,,Day of adverse event:,,,Adverse Events,adverse_events
ae_id,,AE identifier,,,Adverse Events,adverse_events
ae_outcome,,What was the final outcome of the adverse event?,,,Adverse Events,adverse_events
ae_recdt,,Day of recovery:,,,Adverse Events,adverse_events
ae_reldrug,,Was the adverse event related to study drug?,,,Adverse Events,adverse_events
ae_serious,,Was the adverse event serious?,,,Adverse Events,adverse_events
ae_status,,What was the status of the adverse event at the time of the initial AE report?,,,Adverse Events,adverse_events
ae_tm,,Time of adverse event:,,,Adverse Events,adverse_events
ae_unexpected,,Was the adverse event unexpected (not listed in the investigator brochure or protocol)?,,,Adverse Events,adverse_events
ae_userterm,,COSTART term: [ lookup tool ],,,Adverse Events,adverse_events
bl_age,,Age (patient must be at least 18 years of age),,,Demographics and Enrollment,demographics_and_enrollment
bl_ekgdt,,What was the day of the EKG prior to randomization?,,,Demographics and Enrollment,demographics_and_enrollment
bl_ekgqtc,,What was the QTc on the EKG prior to randomization? (ms),,,Demographics and Enrollment,demographics_and_enrollment
bl_ekgtm,,What was the time of the EKG prior to randomization?,,,Demographics and Enrollment,demographics_and_enrollment
bl_ethnic,,Ethnicity,,,Demographics and Enrollment,demographics_and_enrollment
bl_height,,Height (cm),,,Demographics and Enrollment,demographics_and_enrollment
bl_hospadmdt,,Day of presentation to the study hospital,,,Demographics and Enrollment,demographics_and_enrollment
bl_hospadmtm,,Time of presentation to the study hospital,,,Demographics and Enrollment,demographics_and_enrollment
bl_prehosp,,Source of presentation to study hospital (select one),,,Demographics and Enrollment,demographics_and_enrollment
bl_race___1,,Race (Check all that apply) (choice=Black or African American),,,Demographics and Enrollment,demographics_and_enrollment
bl_race___5,,Race (Check all that apply) (choice=White or Caucasian),,,Demographics and Enrollment,demographics_and_enrollment
bl_race___6,,Race (Check all that apply) (choice=Other),,,Demographics and Enrollment,demographics_and_enrollment
bl_race___othcat,,Race (Check all that apply) (choice=American Indian or Alaska Native/Asian/Native Hawaiian or Other Pacific Islander),,,Demographics and Enrollment,demographics_and_enrollment
bl_randloc,,Location at randomization,,,Demographics and Enrollment,demographics_and_enrollment
bl_sex,,Sex,,,Demographics and Enrollment,demographics_and_enrollment
bl_symptomdt,,Day of symptom onset,,,Demographics and Enrollment,demographics_and_enrollment
bl_weight,,Weight (kg),,,Demographics and Enrollment,demographics_and_enrollment
charl_asthma,,Asthma,,,Demographics and Enrollment,demographics_and_enrollment
charl_cad,,Coronary artery disease,,,Demographics and Enrollment,demographics_and_enrollment
